ticker,max_gap_pct,num_gaps,avg_gap_pct,action_types,priority_score
JUBLINDS,19.8,4,9.825,"e=2011-08-10 00,e=2013-08-13 00,e=2015-12-09 00,e=2016-08-18 00",37.7
SCI,22.4,2,14.149999999999999,"e=2007-04-03 00,e=2023-03-31 00",37.599999999999994
DVL,15.7,7,8.87142857142857,"e=2010-07-15 00,e=2014-09-18 00,e=2015-08-03 00,e=2016-07-27 00,e=2021-08-05 00,e=2024-08-14 00",37.55
PGEL,18.3,5,8.8,"e=2013-09-19 00,e=2015-09-16 00,e=2017-09-18 00,e=2018-09-19 00,e=2020-09-21 00",37.45
RAMASTEEL,19.6,4,10.55,"e=2018-09-25 00,e=2019-09-26 00,e=2023-01-06 00,e=2024-03-19 00",37.400000000000006
ASTERDM,22.2,2,22.2,e=2024-04-23 00,37.3
VARDHACRLC,19.5,4,8.925,"e=2013-08-14 00,e=2016-08-25 00,e=2017-09-07 00,e=2021-10-28 00",37.25
CELEBRITY,16.8,6,8.950000000000001,"e=2009-07-22 00,e=2010-10-26 00,e=2011-09-22 00,e=2013-09-12 00,e=2022-09-02 00,e=2024-09-09 00",37.2
VEDL,11.1,10,7.12,"e=2008-08-08 00,e=2015-10-30 00,e=2017-04-11 00,e=2018-03-20 00,e=2018-11-06 00,e=2020-10-28 00,e=2021-12-17 00,e=2022-05-06 00,e=2022-07-26 00,e=2026-04-30 00",36.65
NAVINFLUOR,20.4,3,11.633333333333333,"e=2008-11-06 00,e=2012-06-07 00,e=2013-06-13 00",36.599999999999994
ANDHRAPAP,20.4,3,10.499999999999998,"e=2024-09-11 00,e=2010-02-23 00,e=2015-08-19 00",36.599999999999994
ARCHIDPLY,21.6,2,14.55,"e=2008-11-04 00,e=2020-02-13 00",36.400000000000006
ZENSARTECH,18.9,4,8.625,"e=2008-07-14 00,e=2021-09-15 00,e=2023-07-21 00,e=2024-07-19 00",36.349999999999994
LUMAXAUTO,20.1,3,10.033333333333333,"e=2008-08-26 00,e=2009-09-10 00,e=2013-08-20 00",36.150000000000006
CESC,17.4,5,8.459999999999999,"e=2006-07-06 00,e=2018-10-30 00,e=2021-01-22 00,e=2022-01-24 00,e=2023-02-24 00",36.099999999999994
NITINFIRE,20.0,3,13.200000000000001,"e=2010-11-04 00,e=2011-08-04 00,e=2011-09-22 00",36.0
HINDMOTORS,20.0,3,12.833333333333334,"e=2014-09-16 00,e=2015-08-05 00,e=2016-09-09 00",36.0
SALSTEEL,20.0,3,15.200000000000001,"e=2012-09-13 00,e=2013-09-13 00,e=2019-09-11 00",36.0
TARMAT,20.0,3,10.066666666666666,"e=2011-09-21 00,e=2017-09-21 00,e=2024-09-20 00",36.0
GTLINFRA,20.0,3,11.466666666666667,"e=2007-07-20 00,e=2012-09-24 00,e=2015-09-21 00",36.0
RAJSREESUG,20.0,3,11.4,"e=2006-08-30 00,e=2007-08-30 00,e=2013-08-01 00",36.0
EASEMYTRIP,20.0,3,16.733333333333334,"e=2022-11-21 00,e=2024-11-29 00",36.0
JAGRAN,14.6,7,8.1,"e=2018-06-14 00,e=2019-09-19 00,e=2022-08-17 00,e=2024-09-13 00,e=2025-05-30 00,e=2026-06-05 00",35.9
GESHIP,15.9,6,8.783333333333333,"e=2008-02-05 00,e=2008-07-09 00,e=2008-10-31 00,e=2010-11-02 00,e=2012-02-22 00,e=2020-03-18 00",35.85
ASIANTILES,15.9,6,7.883333333333334,"e=2008-09-18 00,e=2011-09-22 00,e=2021-09-08 00,e=2022-04-11 00,e=2023-09-12 00,e=2024-07-30 00",35.85
SAKUMA,19.9,3,11.9,"e=2012-09-20 00,e=2013-07-19 00,e=2024-08-09 00",35.849999999999994
VAISHALI,19.9,3,15.233333333333333,"e=2020-09-22 00,e=2024-10-15 00",35.849999999999994
CENTUM,18.5,4,11.85,"e=2008-09-18 00,e=2009-07-16 00,e=2018-09-06 00,e=2024-02-20 00",35.75
PNBGILTS,10.5,10,6.55,"e=2008-09-18 00,e=2011-06-16 00,e=2013-05-23 00,e=2015-09-10 00,e=2017-09-07 00,e=2019-08-14 00,e=2020-09-03 00,e=2020-11-18 00,e=2021-02-11 00,e=2022-08-25 00",35.75
NEPCMICON,19.6,3,11.833333333333334,"e=2008-09-18 00,e=2012-09-20 00,e=2013-09-19 00",35.400000000000006
ALMONDZ,16.9,5,9.879999999999999,"e=2008-09-15 00,e=2011-09-15 00,e=2015-09-21 00,e=2016-09-21 00,e=2020-10-28 00",35.349999999999994
ORIENTPRES,22.2,1,22.2,e=2008-11-20 00,35.3
BALMLAWRIE,10.1,10,6.2299999999999995,"e=2008-09-12 00,e=2009-09-10 00,e=2012-09-10 00,e=2016-12-26 00,e=2018-09-04 00,e=2019-09-09 00,e=2020-09-17 00,e=2022-09-19 00,e=2023-09-20 00,e=2025-09-16 00",35.15
GRASIM,20.7,2,20.2,"e=2010-05-26 00,e=2017-07-19 00",35.05
INFOMEDIA,19.3,3,13.266666666666667,"e=2012-06-12 00,e=2013-07-18 00,e=2014-09-22 00",34.95
GINNIFILA,19.3,3,12.200000000000001,"e=2007-07-20 00,e=2013-08-01 00,e=2014-09-01 00",34.95
THOMASCOOK,19.2,3,10.5,"e=2007-05-14 00,e=2008-12-19 00,e=2009-05-22 00",34.8
ONGC,16.5,5,7.56,"e=2015-11-10 00,e=2020-03-23 00,e=2021-11-22 00,e=2011-02-08 00",34.75
BRIGADE,20.5,2,14.35,"e=2019-08-28 00,e=2020-03-23 00",34.75
RUSHIL,17.8,4,14.2,"e=2024-08-09 00,e=2015-09-16 00,e=2016-03-17 00,e=2020-09-10 00",34.7
LGBROS,20.3,2,12.95,"e=2008-05-21 00,e=2009-06-29 00",34.45
VAIBHAVGBL,14.9,6,10.35,"e=2021-05-07 00,e=2008-09-19 00,e=2010-09-23 00,e=2014-11-20 00,e=2018-07-19 00,e=2026-02-03 00",34.35
HINDUJAFO,18.9,3,10.166666666666666,"e=2010-02-03 00,e=2011-07-11 00,e=2014-12-12 00",34.349999999999994
ALPHAGEO,18.9,3,10.4,"e=2010-09-17 00,e=2019-09-19 00,e=2020-03-16 00",34.349999999999994
STAR,18.8,3,10.9,"e=2009-04-16 00,e=2010-05-21 00,e=2014-10-16 00",34.2
SHREEASHTA,20.1,2,14.200000000000001,"e=2009-08-20 00,e=2010-02-01 00",34.150000000000006
KANORICHEM,16.1,5,8.18,"e=2009-07-15 00,e=2012-07-23 00,e=2013-07-26 00,e=2015-08-24 00,e=2019-08-27 00",34.150000000000006
CHESLINTEX,20.1,2,13.05,"e=2010-08-30 00,e=2011-07-13 00",34.150000000000006
ANDHRSUGAR,12.1,8,7.975,"e=2006-09-14 00,e=2007-09-18 00,e=2008-09-12 00,e=2009-09-04 00,e=2010-09-21 00,e=2011-09-15 00,e=2012-09-14 00,e=2020-03-19 00",34.15
SHARDACROP,18.7,3,11.166666666666666,"e=2022-07-25 00,e=2025-02-06 00,e=2025-08-07 00",34.05
ANMOL,20.0,2,20.0,e=2023-07-18 00,34.0
ZEEMEDIA,20.0,2,12.85,"e=2007-07-19 00,e=2012-07-05 00",34.0
TVSHLTD,20.0,2,16.65,"e=2023-03-24 00,e=2023-08-24 00",34.0
ADANIPOWER,20.0,2,13.85,"e=2013-07-30 00,e=2025-09-22 00",34.0
CMAHENDRA,20.0,2,12.5,"e=2014-09-11 00,e=2015-06-18 00",34.0
MENONBE,20.0,2,12.85,"e=2016-07-14 00,e=2020-03-20 00",34.0
NDTV,20.0,2,17.2,"e=2009-08-11 00,e=2017-09-05 00",34.0
KAMDHENU,18.5,3,13.466666666666667,"e=2016-09-19 00,e=2021-09-08 00,e=2025-01-08 00",33.75
