ticker,gap_count
CRISIL,1
CTE,1
CYBERMEDIA,1
DABUR,1
DALMIABHA,1
DALMIASUG,1
DANGEE,1
DIAPOWER,1
DATAPATTNS,1
DAVANGERE,1
DCBBANK,1
DECCANCE,1
DEEPENR,1
DEEPINDS,1
DEN,1
DENABANK,1
DEVIT,1
DHAMPURSUG,1
DHRUV,1
DIAMINESQ,1
FIRSTWIN,1
FMNL,1
HLVLTD,1
GAIL,1
GSLNOVA,1
GTNTEX,1
GTOFFSHORE,1
GUJALKALI,1
GUJENERGY,1
GUJNREDVR,1
GUJRATGAS,1
GULFOILCOR,1
GULFOILLUB,1
GVKPIL,1
HARIOMPIPE,1
HAVISHA,1
HBSTOCK,1
HCG,1
HDFCLIFE,1
HDIL,1
HEMIPROP,1
HESTERBIO,1
HGM,1
HIGHGROUND,1
HINDCON,1
HINDCOPPER,1
HINDSYNTEX,1
HINDWAREAP,1
HISARMETAL,1
HITECHCORP,1
HITECHGEAR,1
GRPLTD,1
GRAVITA,1
GPPL,1
GILLETTE,1
GALAXYSURF,1
GAMMONIND,1
GANECOS,1
GANESHBE,1
GANESHHOU,1
GATECHDVR,1
GATEWAY,1
GAYAPROJ,1
GEECEE,1
GEINDSYS,1
GENSOL,1
GEOMETRIC,1
GITANJALI,1
GOLDENTOBC,1
GKB,1
GKWLIMITED,1
GLAND,1
GLAXO,1
GLOBAL,1
GLOBE,1
GLOBOFFS,1
GLOBUSSPR,1
GMDCLTD,1
GMMPFAUDLR,1
GOCLCORP,1
GOKUL,1
COMPUSOFT,1
COMPINFO,1
COHANCE,1
CLUTCHAUTO,1
ANTELOPUS,1
ANUP,1
APCL,1
APEX,1
APLAB,1
APOLLO,1
APOLLOPIPE,1
APOLSINHOT,1
ARCHIES,1
ARENTERP,1
ARMANFIN,1
AROGRANITE,1
ARROWGREEN,1
ARSHIYA,1
ARVINDFASN,1
ASHCO,1
ASHCONIUL,1
ASIANHOTEL,1
ASIANHOTNR,1
ASIANPAINT,1
ASSAMCO,1
ASTEC,1
ASTRAMICRO,1
ATL,1
ATULAUTO,1
AURUS,1
AVANTEL,1
ANKURDRUGS,1
ANKITMETAL,1
ANDHRACEMT,1
ADVENZYMES,1
3PLAND,1
AAKASH,1
AARVI,1
ABGSHIP,1
ABHISHEK,1
ABIRLANUVO,1
ACCURACY,1
ACL,1
ADANIPORTS,1
ADFFOODS,1
ADHUNIK,1
ADVANTA,1
AEROFLEX,1
AMTL,1
AFIL,1
AFTEK,1
AGARIND,1
AGRITECH,1
AIAENG,1
AKI,1
AKSHAR,1
ALCHEMIST,1
AMARJOTHI,1
AMBICAAGAR,1
AMLSTEEL,1
AMRUTANJAN,1
AVANTI,1
AVANTIFEED,1
AVONMORE,1
CARYSIL,1
BLUESTINFO,1
BODALCHEM,1
BOROLTD,1
BORORENEW,1
BURNPUR,1
CAIRN,1
CAMPUS,1
CAMS,1
CANFINHOME,1
CAPACITE,1
CAPTRUST,1
CARBORUNIV,1
CCL,1
BLUEBIRD,1
CELESTIAL,1
CEMPRO,1
CENTEXT,1
CENTRUM,1
CHEMBOND,1
CHEVIOT,1
CHOICEIN,1
CHOLAFIN,1
CHROMATIC,1
CIFL,1
CLASSIC,1
CLSEL,1
BLUEDART,1
BLKASHYAP,1
AVROIND,1
BATLIBOI,1
AXISBANK,1
AXISCADES,1
AYMSYNTEX,1
AZTECSOFT,1
BAJAJ-AUTO,1
BAJAJCON,1
BAJAJHCARE,1
BALKRISIND,1
BANKBARODA,1
BANKINDIA,1
BASF,1
BATAINDIA,1
BAYERCROP,1
BIRLATYRE,1
BEL,1
BELLCERATL,1
BHAGCHEM,1
BHAGERIA,1
BHAGYANGR,1
BHARATWIRE,1
BHEL,1
BIL,1
BINANICEM,1
BIRLAMONEY,1
BIRLANU,1
BIRLAPREC,1
HLEGLAS,1
HMAAGRO,1
RAJMET,1
OCTAV,1
NCOPPER,1
NDGL,1
NDL,1
NECCLTD,1
NEOCORP,1
NEOCURTHER,1
NEOGEN,1
NESTLEIND,1
NETWEB,1
NETWORK18,1
NFL,1
NGLFINE,1
NIACL,1
NIBL,1
NILKAMAL,1
NIRMA,1
NITESHEST,1
NOL,1
NORBTEAEXP,1
NORTHGATE,1
NOVAPETRO,1
NOVARTIND,1
NRL,1
NUCHEM,1
NURECA,1
NYKAA,1
OAL,1
NAZARA,1
NAVKARCORP,1
NAUKRI,1
MOSERBAER,1
MCX,1
MEDICO,1
MEGH,1
MEP,1
METROBRAND,1
MFSL,1
MGL,1
MIDHANI,1
MITCON,1
MMP,1
MOKSH,1
MOLDTECH,1
MOTOGENFIN,1
NATNLSTEEL,1
MSPL,1
MSTCLTD,1
MUKANDENGG,1
MUKTAARTS,1
MUTHOOTCAP,1
MYSOREBANK,1
NACLIND,1
NAGREEKA,1
NAHARCAP,1
NAKODA,1
NAM-INDIA,1
